age,val,year
15,0.22462562396006655,1985.0
20,0.6006535947712418,1985.0
25,0.8366064414768264,1985.0
30,0.9224526600541028,1985.0
35,0.8911205073995772,1985.0
40,0.9044811320754716,1985.0
45,0.8494623655913979,1985.0
15,0.21553765987683562,1990.0
20,0.6061468412066021,1990.0
25,0.8113333333333334,1990.0
30,0.9033816425120773,1990.0
35,0.9106976744186046,1990.0
40,0.8443708609271523,1990.0
45,0.8451935081148564,1990.0
15,0.21319018404907975,1995.0
20,0.583011583011583,1995.0
25,0.8151796060254924,1995.0
30,0.9107021131561008,1995.0
35,0.9091666666666667,1995.0
40,0.8867376573088093,1995.0
45,0.8221709006928406,1995.0
15,0.21132457027300303,2000.0
20,0.5992125984251968,2000.0
25,0.8103277060575969,2000.0
30,0.9037656903765691,2000.0
35,0.9216524216524217,2000.0
40,0.8999122036874452,2000.0
45,0.8345250255362615,2000.0
15,0.20527950310559007,2005.0
20,0.5829580879806027,2005.0
25,0.8241534067727458,2005.0
30,0.9071686436307375,2005.0
35,0.9122042341220423,2005.0
40,0.8897280966767371,2005.0
45,0.8580705009276438,2005.0
15,0.21605603448275862,2010.0
20,0.5889353489868124,2010.0
25,0.8110632183908046,2010.0
30,0.9156064461407973,2010.0
35,0.9225352112676056,2010.0
40,0.8811556139198949,2010.0
45,0.8484848484848485,2010.0
15,0.2067490494296578,2015.0
20,0.5862260483199111,2015.0
25,0.8173076923076923,2015.0
30,0.9168530947054437,2015.0
35,0.9201773835920177,2015.0
40,0.893121091529278,2015.0
45,0.8419220055710307,2015.0
15,0.21938878769479864,2020.0
20,0.5953545232273839,2020.0
25,0.8190201729106629,2020.0
30,0.9139372822299652,2020.0
35,0.9174203696421549,2020.0
40,0.9108309990662932,2020.0
45,0.8605914302957152,2020.0
