sex,bin,count,probability,mean,median,std,pct_gt_20
f,0,1478,0.057282381210758855,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,1,2647,0.10258894659328734,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,2,2684,0.10402294395783272,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,3,2619,0.10150375939849623,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,4,2483,0.09623285016665374,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,5,2302,0.08921789008603984,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,6,1925,0.07460661964188822,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,7,1713,0.06639020230989846,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,8,1462,0.0566622742423068,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,9,1210,0.04689558948918689,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,10,1048,0.0406170064336098,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,11,818,0.03170296876211146,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,12,670,0.025966979303929928,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,13,567,0.021975040694519804,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,14,418,0.016200294550810016,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,15,322,0.012479652740097666,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,16,290,0.01123943880319355,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,17,192,0.0074412836214246955,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,18,152,0.005891016200294551,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,19,138,0.005348422602899,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
f,20,664,0.025734439190760405,6.167157584683358,5.0,5.331256395791198,2.5734439190760403
m,0,1914,0.08222355872497637,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,1,2247,0.09652891141850674,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,2,2126,0.0913308703496864,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,3,2015,0.08656241945184294,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,4,1878,0.08067703410945957,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,5,1810,0.07775582094681674,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,6,1616,0.06942177162986511,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,7,1437,0.06173210756937881,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,8,1235,0.053054386115645676,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,9,1096,0.04708308273906693,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,10,921,0.03956525474697139,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,11,790,0.03393762350717416,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,12,723,0.031059369361629004,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,13,689,0.029598762780307587,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,14,579,0.024873270899561817,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,15,489,0.021006959360769826,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,16,413,0.017742074061345477,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,17,330,0.014176475642237306,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,18,231,0.009923532949566114,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,19,201,0.008634762436635449,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
m,20,538,0.023111951198556576,6.5206632872239885,5.0,5.335152538198357,2.3111951198556575
