arm,coverage,efficacy,metric,val,low,high
adolescent,0.5,,cancers,5068828.05008838,4950274.217146512,5187381.883030249
adolescent,0.5,,deaths,3780220.7077640817,3670090.727032412,3890350.6884957477
adolescent,0.9,,cancers,5740633.255874748,5671012.299088199,5810254.2126613
adolescent,0.9,,deaths,4303988.437730696,4201786.868083628,4406190.007377762
infant,0.5,0.528,cancers,5037362.331768868,4908650.291834906,5166074.371702831
infant,0.5,0.528,deaths,3705520.6318853796,3585108.563590736,3825932.700180021
infant,0.9,0.95,cancers,5760206.4207409555,5690585.463511379,5829827.377970535
infant,0.9,0.95,deaths,4321207.8449606,4228297.302747972,4414118.387173227
