arm,coverage,efficacy,metric,val,low,high
adolescent,0.5,,cancers,4446936.1728515625,4207509.3984375,4728180.1015625
adolescent,0.5,,deaths,3036450.0113932285,2851491.1259765625,3247869.7900390625
adolescent,0.9,,cancers,5358723.0862630205,5232394.4560546875,5528251.3515625
adolescent,0.9,,deaths,3641379.216145833,3535253.064453125,3782945.1416015625
infant,0.5,0.528,cancers,4828419.404296875,4754581.529296875,4999463.9765625
infant,0.5,0.528,deaths,3241655.88671875,3153725.3505859375,3396957.6962890625
infant,0.9,0.95,cancers,5347811.652669271,5263523.1962890625,5481156.877197266
infant,0.9,0.95,deaths,3629590.7451171875,3566292.63671875,3721356.6004943848
