scenario,year,value,metric,stratum,cohort,stat
S_infant_eff50,2092,4.608200046012493,asr_cancer_incidence,all,whole,median
S_infant_eff50,2093,5.2696715357028125,asr_cancer_incidence,all,whole,median
S_infant_eff50,2094,5.304921408509957,asr_cancer_incidence,all,whole,median
S_infant_eff50,2095,4.9895604480852915,asr_cancer_incidence,all,whole,median
S_infant_eff50,2096,4.683196346047747,asr_cancer_incidence,all,whole,median
S_infant_eff50,2097,4.673281845225922,asr_cancer_incidence,all,whole,median
S_infant_eff50,2098,5.126662792170744,asr_cancer_incidence,all,whole,median
S_infant_eff50,2099,4.868452906393093,asr_cancer_incidence,all,whole,median
S_infant_eff50,2100,4.924693260696474,asr_cancer_incidence,all,whole,median
S_infant_full,2020,19.19832240318148,asr_cancer_incidence,all,whole,median
S_infant_full,2021,19.92052180399774,asr_cancer_incidence,all,whole,median
S_infant_full,2022,20.10024758616121,asr_cancer_incidence,all,whole,median
S_infant_full,2023,19.74745327921404,asr_cancer_incidence,all,whole,median
S_infant_full,2024,20.023736711032473,asr_cancer_incidence,all,whole,median
S_infant_full,2025,19.354055578754437,asr_cancer_incidence,all,whole,median
S_infant_full,2026,21.17754020386309,asr_cancer_incidence,all,whole,median
S_infant_full,2027,19.037005529774316,asr_cancer_incidence,all,whole,median
S_infant_full,2028,19.174106991667987,asr_cancer_incidence,all,whole,median
S_infant_full,2029,18.812519519738224,asr_cancer_incidence,all,whole,median
S_infant_full,2030,18.021921762422373,asr_cancer_incidence,all,whole,median
S_infant_full,2031,18.136933023706188,asr_cancer_incidence,all,whole,median
S_infant_full,2032,17.886462352828357,asr_cancer_incidence,all,whole,median
S_infant_full,2033,17.686600510369207,asr_cancer_incidence,all,whole,median
S_infant_full,2034,17.554122955468486,asr_cancer_incidence,all,whole,median
S_infant_full,2035,17.52244922904434,asr_cancer_incidence,all,whole,median
S_infant_full,2036,16.73336985944489,asr_cancer_incidence,all,whole,median
S_infant_full,2037,16.551006744780874,asr_cancer_incidence,all,whole,median
S_infant_full,2038,16.349386403760818,asr_cancer_incidence,all,whole,median
S_infant_full,2039,16.1082715002622,asr_cancer_incidence,all,whole,median
S_infant_full,2040,15.76090909944021,asr_cancer_incidence,all,whole,median
S_infant_full,2041,15.309832099926076,asr_cancer_incidence,all,whole,median
S_infant_full,2042,15.234246769788584,asr_cancer_incidence,all,whole,median
S_infant_full,2043,14.702532825571025,asr_cancer_incidence,all,whole,median
