scenario,year,value,metric,stratum,cohort,stat
S_novax,2020,19.19282803544018,asr_cancer_incidence,all,whole,median
S_novax,2021,19.059534478131713,asr_cancer_incidence,all,whole,median
S_novax,2022,19.06973288538334,asr_cancer_incidence,all,whole,median
S_novax,2023,19.059392082769854,asr_cancer_incidence,all,whole,median
S_novax,2024,19.59873628332477,asr_cancer_incidence,all,whole,median
S_novax,2025,19.655099895551373,asr_cancer_incidence,all,whole,median
S_novax,2026,19.792245238105544,asr_cancer_incidence,all,whole,median
S_novax,2027,20.179367255284326,asr_cancer_incidence,all,whole,median
S_novax,2028,19.765806440086013,asr_cancer_incidence,all,whole,median
S_novax,2029,19.680799953869485,asr_cancer_incidence,all,whole,median
S_novax,2030,19.8287586138309,asr_cancer_incidence,all,whole,median
S_novax,2031,19.459150887786574,asr_cancer_incidence,all,whole,median
S_novax,2032,19.554459181472737,asr_cancer_incidence,all,whole,median
S_novax,2033,20.49182704021507,asr_cancer_incidence,all,whole,median
S_novax,2034,20.03277336796757,asr_cancer_incidence,all,whole,median
S_novax,2035,20.010110640169657,asr_cancer_incidence,all,whole,median
S_novax,2036,19.935002250123766,asr_cancer_incidence,all,whole,median
S_novax,2037,19.923746266205036,asr_cancer_incidence,all,whole,median
S_novax,2038,20.795317175769455,asr_cancer_incidence,all,whole,median
S_novax,2039,20.272837173871075,asr_cancer_incidence,all,whole,median
S_novax,2040,20.523648265798116,asr_cancer_incidence,all,whole,median
S_novax,2041,20.373791412171414,asr_cancer_incidence,all,whole,median
S_novax,2042,20.54356688856611,asr_cancer_incidence,all,whole,median
S_novax,2043,20.828210201879912,asr_cancer_incidence,all,whole,median
S_novax,2044,20.758820810891912,asr_cancer_incidence,all,whole,median
S_novax,2045,21.153169965071868,asr_cancer_incidence,all,whole,median
S_novax,2046,20.632021452221952,asr_cancer_incidence,all,whole,median
S_novax,2047,21.658729047247803,asr_cancer_incidence,all,whole,median
S_novax,2048,21.470618209447466,asr_cancer_incidence,all,whole,median
S_novax,2049,21.586946804559894,asr_cancer_incidence,all,whole,median
S_novax,2050,21.502400903591266,asr_cancer_incidence,all,whole,median
S_novax,2051,21.446956571495843,asr_cancer_incidence,all,whole,median
S_novax,2052,21.85608987973026,asr_cancer_incidence,all,whole,median
S_novax,2053,21.88349979801187,asr_cancer_incidence,all,whole,median
S_novax,2054,21.8607936283397,asr_cancer_incidence,all,whole,median
S_novax,2055,22.07584028373231,asr_cancer_incidence,all,whole,median
S_novax,2056,22.644401405197677,asr_cancer_incidence,all,whole,median
S_novax,2057,22.67713446553271,asr_cancer_incidence,all,whole,median
S_novax,2058,23.403644596643815,asr_cancer_incidence,all,whole,median
S_novax,2059,23.03070231495851,asr_cancer_incidence,all,whole,median
S_novax,2060,23.290771353553247,asr_cancer_incidence,all,whole,median
S_novax,2061,23.835957948722452,asr_cancer_incidence,all,whole,median
S_novax,2062,23.994037727222224,asr_cancer_incidence,all,whole,median
S_novax,2063,24.108138859138847,asr_cancer_incidence,all,whole,median
S_novax,2064,24.113763652621763,asr_cancer_incidence,all,whole,median
S_novax,2065,24.511432988976296,asr_cancer_incidence,all,whole,median
S_novax,2066,24.54626192005795,asr_cancer_incidence,all,whole,median
S_novax,2067,24.969870275217367,asr_cancer_incidence,all,whole,median
S_novax,2068,25.316324659153686,asr_cancer_incidence,all,whole,median
S_novax,2069,25.231446656054047,asr_cancer_incidence,all,whole,median
S_novax,2070,25.453036226774685,asr_cancer_incidence,all,whole,median
S_novax,2071,26.005040928906183,asr_cancer_incidence,all,whole,median
S_novax,2072,25.805897560934543,asr_cancer_incidence,all,whole,median
S_novax,2073,26.11026057737306,asr_cancer_incidence,all,whole,median
S_novax,2074,25.99678162044832,asr_cancer_incidence,all,whole,median
S_novax,2075,26.219328496979905,asr_cancer_incidence,all,whole,median
S_novax,2076,26.152171165806763,asr_cancer_incidence,all,whole,median
S_novax,2077,26.02310334182299,asr_cancer_incidence,all,whole,median
S_novax,2078,26.22553695515755,asr_cancer_incidence,all,whole,median
S_novax,2079,26.03055085838399,asr_cancer_incidence,all,whole,median
S_novax,2080,26.225966354342475,asr_cancer_incidence,all,whole,median
S_novax,2081,26.297206924633272,asr_cancer_incidence,all,whole,median
S_novax,2082,26.49819585152209,asr_cancer_incidence,all,whole,median
S_novax,2083,25.96064619108108,asr_cancer_incidence,all,whole,median
S_novax,2084,26.361103354509723,asr_cancer_incidence,all,whole,median
S_novax,2085,26.626697571126016,asr_cancer_incidence,all,whole,median
S_novax,2086,26.262300267821665,asr_cancer_incidence,all,whole,median
S_novax,2087,25.89609463771635,asr_cancer_incidence,all,whole,median
