scenario,year,metric,stratum,cohort,stat,value
S_infant_c60_e50,2025_2100,new_cancers,all,vt_group,median,362997.77677151246
S_infant_c60_e70,2025_2100,new_cancers,all,vt_group,median,308723.15260853805
S_infant_c60_e95,2025_2100,new_cancers,all,vt_group,median,276590.9697384484
S_infant_c75_e50,2025_2100,new_cancers,all,vt_group,median,303594.4901915863
S_infant_c75_e70,2025_2100,new_cancers,all,vt_group,median,265731.5857138472
S_infant_c75_e95,2025_2100,new_cancers,all,vt_group,median,245439.92341200137
S_infant_c90_e50,2025_2100,new_cancers,all,vt_group,median,268362.8120896018
S_infant_c90_e70,2025_2100,new_cancers,all,vt_group,median,233889.28465637832
S_infant_c90_e95,2025_2100,new_cancers,all,vt_group,median,218168.82123477873
S_novax,2025_2100,new_cancers,all,vt_group,median,1427551.8672256724
S_sq,2025_2100,new_cancers,all,vt_group,median,428666.95283896214
S_who_or5,2025_2100,new_cancers,all,vt_group,median,193885.72192102927
S_infant_c60_e50,2025_2100,new_cancers,all,vt_group,q25,328535.3961823429
S_infant_c60_e70,2025_2100,new_cancers,all,vt_group,q25,260246.1468216371
S_infant_c60_e95,2025_2100,new_cancers,all,vt_group,q25,250044.56989769248
S_infant_c75_e50,2025_2100,new_cancers,all,vt_group,q25,264415.9719465671
S_infant_c75_e70,2025_2100,new_cancers,all,vt_group,q25,222494.7360663363
S_infant_c75_e95,2025_2100,new_cancers,all,vt_group,q25,204388.32948490913
S_infant_c90_e50,2025_2100,new_cancers,all,vt_group,q25,221457.85441837338
S_infant_c90_e70,2025_2100,new_cancers,all,vt_group,q25,198167.03964074253
S_infant_c90_e95,2025_2100,new_cancers,all,vt_group,q25,178811.91572403192
S_novax,2025_2100,new_cancers,all,vt_group,q25,1361637.4265724842
S_sq,2025_2100,new_cancers,all,vt_group,q25,369475.501292192
S_who_or5,2025_2100,new_cancers,all,vt_group,q25,158230.3725669298
S_infant_c60_e50,2025_2100,new_cancers,all,vt_group,q75,427997.9944210128
S_infant_c60_e70,2025_2100,new_cancers,all,vt_group,q75,362852.8350407472
S_infant_c60_e95,2025_2100,new_cancers,all,vt_group,q75,337510.5546218194
S_infant_c75_e50,2025_2100,new_cancers,all,vt_group,q75,357623.8307399049
S_infant_c75_e70,2025_2100,new_cancers,all,vt_group,q75,309436.70514163544
S_infant_c75_e95,2025_2100,new_cancers,all,vt_group,q75,302513.0108648365
S_infant_c90_e50,2025_2100,new_cancers,all,vt_group,q75,315245.4723990179
S_infant_c90_e70,2025_2100,new_cancers,all,vt_group,q75,277193.03023124475
S_infant_c90_e95,2025_2100,new_cancers,all,vt_group,q75,250802.7197523821
S_novax,2025_2100,new_cancers,all,vt_group,q75,1483331.6308259484
S_sq,2025_2100,new_cancers,all,vt_group,q75,501549.70825627027
S_who_or5,2025_2100,new_cancers,all,vt_group,q75,226753.75533188635
S_infant_c60_e50,2025_2100,new_cancers,all,vt_group,q025,202022.4559001228
S_infant_c60_e70,2025_2100,new_cancers,all,vt_group,q025,163158.34802523165
S_infant_c60_e95,2025_2100,new_cancers,all,vt_group,q025,152700.33731734508
S_infant_c75_e50,2025_2100,new_cancers,all,vt_group,q025,152169.63247388758
S_infant_c75_e70,2025_2100,new_cancers,all,vt_group,q025,136113.57579147458
S_infant_c75_e95,2025_2100,new_cancers,all,vt_group,q025,112647.71744704511
S_infant_c90_e50,2025_2100,new_cancers,all,vt_group,q025,135834.84416869938
S_infant_c90_e70,2025_2100,new_cancers,all,vt_group,q025,117780.8390676328
S_infant_c90_e95,2025_2100,new_cancers,all,vt_group,q025,102519.72495852453
S_novax,2025_2100,new_cancers,all,vt_group,q025,1038570.8087180189
S_sq,2025_2100,new_cancers,all,vt_group,q025,215640.16787070103
S_who_or5,2025_2100,new_cancers,all,vt_group,q025,86902.94927474915
S_infant_c60_e50,2025_2100,new_cancers,all,vt_group,q975,462100.25560126366
S_infant_c60_e70,2025_2100,new_cancers,all,vt_group,q975,398666.50644683716
S_infant_c60_e95,2025_2100,new_cancers,all,vt_group,q975,379958.03884720535
S_infant_c75_e50,2025_2100,new_cancers,all,vt_group,q975,408560.3649355058
S_infant_c75_e70,2025_2100,new_cancers,all,vt_group,q975,364177.3678744476
S_infant_c75_e95,2025_2100,new_cancers,all,vt_group,q975,334372.03652061644
S_infant_c90_e50,2025_2100,new_cancers,all,vt_group,q975,364192.9774803767
S_infant_c90_e70,2025_2100,new_cancers,all,vt_group,q975,331527.8587214887
S_infant_c90_e95,2025_2100,new_cancers,all,vt_group,q975,308917.1496558848
S_novax,2025_2100,new_cancers,all,vt_group,q975,1565472.718286759
S_sq,2025_2100,new_cancers,all,vt_group,q975,563063.5566327205
S_who_or5,2025_2100,new_cancers,all,vt_group,q975,282691.8475517565
