gradient,or_value,scenario,is_baseline,median,q25,q75,q025,q975
vaccination,2.0,S_sq_vor2,False,13646.702135931497,-2597.77891567965,29523.259141381015,-35022.07322969737,54485.34807079509
vaccination,3.0,S_sq_vor3,False,1895.3750562199857,-14304.510326862073,18530.079530216346,-39249.87563921192,58825.759998817455
vaccination,5.0,S_sq,True,0.0,0.0,0.0,0.0,0.0
vaccination,8.0,S_sq_vor8,False,-11394.549632551745,-25754.804405416216,-289.8814803467394,-67616.9546063965,37632.116248544524
screening,1.0,S_sq_screenup_or1,False,152611.14896182326,121147.92189925518,189916.5994557346,71019.70281736522,221719.8838975
screening,2.0,S_sq_screenup_sor2,False,141149.7051152039,107579.26112049188,160850.46018950266,70727.59206207508,189171.83112655586
screening,3.0,S_sq_screenup_or5,True,127213.11810142388,100856.25421664707,150793.82340556144,55950.35647754518,194746.46172257146
screening,5.0,S_sq_screenup_sor5,False,116732.81232690765,87220.70484963045,139153.9875479262,53753.95141395663,173119.1180851316
